1,Albanvale,City of Brimbank,Western,5237,41,Region
2,Albion,City of Brimbank,Western,4322,53,Region
3,Ardeer,City of Brimbank,Western,2838,44,Region
4,Brooklyn - Brimbank,City of Brimbank,Western,#N/A,#N/A,Region
5,Cairnlea,City of Brimbank,Western,8837,54,Region
6,Calder Park,City of Brimbank,Western,#N/A,#N/A,Region
7,Deer Park,City of Brimbank,Western,16246,49,Region
8,Delahey,City of Brimbank,Western,8439,39,Region
9,Derrimut,City of Brimbank,Western,5996,34,Region
10,Kealba,City of Brimbank,Western,3173,43,Region
11,Keilor Downs,City of Brimbank,Western,10347,42,Region
12,Keilor Lodge,City of Brimbank,Western,1753,57,Region
13,Keilor North,City of Brimbank,Western,#N/A,#N/A,Region
14,Keilor Park,City of Brimbank,Western,2546,57,Region
15,Kings Park - Brimbank,City of Brimbank,Western,#N/A,#N/A,Region
16,St Albans - Brimbank,City of Brimbank,Western,#N/A,#N/A,Region
17,Sunshine,City of Brimbank,Western,8849,71,Region
18,Sunshine North,City of Brimbank,Western,10659,56,Region
19,Sunshine West,City of Brimbank,Western,16759,49,Region
20,Sydenham - Brimbank,City of Brimbank,Western,#N/A,#N/A,Region
21,Taylors Lakes,City of Brimbank,Western,16094,49,Region
22,Altona,City of Hobsons Bay,Western,9916,63,Region
23,Altona Meadows,City of Hobsons Bay,Western,18721,43,Region
24,Altona North,City of Hobsons Bay,Western,11386,60,Region
25,Laverton,City of Hobsons Bay,Western,4074,50,Region
26,Newport - Hobsons Bay,City of Hobsons Bay,Western,#N/A,#N/A,Region
27,Seabrook,City of Hobsons Bay,Western,4961,43,Region
28,Seaholme,City of Hobsons Bay,Western,1849,57,Region
29,South Kingsville,City of Hobsons Bay,Western,1829,59,Region
30,Spotswood,City of Hobsons Bay,Western,2347,66,Region
31,Williamstown,City of Hobsons Bay,Western,13183,71,Region
32,Williamstown North,City of Hobsons Bay,Western,1543,61,Region
33,Braybrook,City of Maribyrnong,Western,8190,65,Region
34,Footscray,City of Maribyrnong,Western,13203,78,Region
35,Kingsville,City of Maribyrnong,Western,3525,70,Region
36,Maidstone,City of Maribyrnong,Western,7768,62,Region
37,Maribyrnong,City of Maribyrnong,Western,10135,70,Region
38,Seddon,City of Maribyrnong,Western,4860,80,Region
39,Tottenham,City of Maribyrnong,Western,#N/A,#N/A,Region
40,West Footscray,City of Maribyrnong,Western,10215,64,Region
41,Yarraville,City of Maribyrnong,Western,13811,77,Region
42,Brookfield,City of Melton,Western,#N/A,#N/A,Region
43,Burnside,City of Melton,Western,4393,43,Region
44,Burnside Heights,City of Melton,Western,5008,43,Region
45,Caroline Springs,City of Melton,Western,20397,43,Region
46,Exford,City of Melton,Western,#N/A,#N/A,Region
47,Eynesbury,City of Melton,Western,#N/A,#N/A,Region
48,Hillside,City of Melton,Western,16315,39,Region
49,Kurunjang,City of Melton,Western,#N/A,#N/A,Region
50,Melton,City of Melton,Western,#N/A,#N/A,Region
